full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Mario Lemina,29,1993/09/01,Premier League,Midfielder,Southampton,Gabon,1,1,0,5,0
Mark Noble,35,1987/05/08,Premier League,Midfielder,West Ham United,England,5,5,4,7,1
Mark Travers,23,1999/05/18,Premier League,Goalkeeper,AFC Bournemouth,Republic of Ireland,0,0,0,0,0
Marko ArnautoviÄ‡,33,1989/04/19,Premier League,Forward,West Ham United,Austria,10,4,1,3,0
Markus Suttner,35,1987/04/16,Premier League,Defender,Brighton & Hove Albion,Austria,0,0,0,0,0
Marouane Fellaini,34,1987/11/22,Premier League,Midfielder,Manchester United,Belgium,0,1,0,1,0
Martin DÃºbravka,33,1989/01/15,Premier League,Goalkeeper,Newcastle United,Slovakia,0,0,0,1,0
Martin Kelly,32,1990/04/27,Premier League,Defender,Crystal Palace,England,0,0,0,2,0
MartÃ­n Montoya,31,1991/04/14,Premier League,Defender,Brighton & Hove Albion,Spain,0,1,0,4,0
Mason Greenwood,21,2001/10/01,Premier League,Midfielder,Manchester United,England,0,0,0,0,0
Mason Holgate,26,1996/10/22,Premier League,Defender,Everton,England,0,0,0,1,0
MatÄ›j Vydra,30,1992/05/01,Premier League,Forward,Burnley,Czech Republic,1,1,0,1,0
Mateo KovaÄiÄ‡,28,1994/05/06,Premier League,Midfielder,Chelsea,Croatia,0,2,0,3,0
Mathew Ryan,30,1992/04/08,Premier League,Goalkeeper,Brighton & Hove Albion,Australia,0,0,0,2,0
Mathias Jattah-Njie JÃ¸rgensen,32,1990/04/23,Premier League,Defender,Huddersfield Town,Denmark,3,1,0,6,0
Matt Butcher,25,1997/05/14,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,0,0
Matt Doherty,30,1992/01/16,Premier League,Defender,Wolverhampton Wanderers,Republic of Ireland,4,5,0,5,0
Matt Ritchie,33,1989/09/10,Premier League,Midfielder,Newcastle United,Scotland,2,8,1,9,0
Matt Targett,27,1995/09/18,Premier League,Defender,Southampton,England,1,3,0,2,0
Matteo Darmian,32,1989/12/02,Premier League,Defender,Manchester United,Italy,0,0,0,0,0
MattÃ©o Guendouzi OliÃ©,23,1999/04/14,Premier League,Midfielder,Arsenal,France,0,0,0,9,0
Matthew Connolly,35,1987/09/24,Premier League,Defender,Cardiff City,England,0,0,0,0,0
Matthew Lowton,33,1989/06/09,Premier League,Defender,Burnley,England,0,0,0,7,0
Matty Daly,21,2001/03/10,Premier League,Midfielder,Huddersfield Town,England,0,0,0,0,0
Max Harrison Sanders,23,1999/01/04,Premier League,Midfielder,Brighton & Hove Albion,England,0,0,0,0,0
Max Kilman,25,1997/05/23,Premier League,Defender,Wolverhampton Wanderers,England,0,0,0,0,0
Max Meyer,27,1995/09/18,Premier League,Midfielder,Crystal Palace,Germany,1,2,0,3,0
